"Timestamp","LEVEL","ROLE","STAGE","ENHANCE","EASE","ATTITUDE","CHARACTERISTICS","SUPPORT","EXTERNAL","SIZE","EXPERTISE","ADVANTAGES","COMPATIBLE","ADDITIONAL"
"2019/06/25 3:22:47 PM MDT","Provincial","Technical / NCM","A decision has been made to move to cloud infrastructure but implementation is pending or at a preliminary stage","Resources readily available in an easy to obtain and speedy manner","Wouldn't have to wait for resources","Very Positive","Open to innovation if it offers a sufficient improvement to cost ratio","The local tech lab and openshift (pseudo cloud) platform","unknown","Very Small","Very High","Resources available on demand without the same restrictions placed on multi tenanted environments","A perfect fit (very little operations would be not compatible)","In my particular case the organization did a concept on an cloud provider, has pulled off for some reasons and is looking to get back onto the cloud"
"2019/06/25 3:46:19 PM MDT","Provincial","Technical / NCM","A decision has been made to move to cloud infrastructure but implementation is pending or at a preliminary stage","Simulated production environment to ensure correct testing","Less server management and debugging on our side","Moving towards it with enthusiasm","Often find the best solutions have already been done","I think there is a wide support of it currently, moving web applications to cloud environments","the public might perceive cloud computing as not as secure as keeping computing local, pressuring no change","Medium","My current experience is still developing whereas a couple people I have talked to are knowledgeable on cloud computing","Constant up time, accurate testing, developing new knowledge","Excellent for hosting web applications, currently hosting some prototypes",""
"2019/06/25 3:50:01 PM MDT","Municipal","Executive / Snr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","Provide modern tools and services that can be leveraged for service delivery purposes.  It will also free up resources to work on digital transformation projects that would normally be assigned to support / maintain the base technology infrastructure / application layer","Allow our technology staff to leverage modern technologies to come up with innovative solutions to corporate challenges","Very supportive at the highest level, much more reservation at the 2nd level.","profile similar to a ""teen"".  Eager, energetic, however not aware of the impacts of what innovation can have on corporate culture, service delivery, costs and overall risks.","Guidance / direction coming from internal strategies, eagerness to transform by CAO, strong IT skills in IT team, Council directive to do more with less funds (forced to innovate and challenge current decisions, processes and solutions)","It depends on the service - high in some areas and low in other areas.  You can't blanket all services the same in this municipality.","No sufficient to take a proactive approach to digital transformation.  Need to work on a fits and starts methodology.  Look for opportunities to innovate when change is already occurring due to another external force.","Knowledge is good, tools and guidance is poor","Enable better integration of solutions / data, ability to select smaller for specific tools to deal with issues (for one or small number of challenges) as opposed to purchasing a larger corporate wide solution.","Questions is unclear to me - not sure what you are asking.  Assuming you are asking can cloud implementation be compatible with existing services.  My answer to that would be it depends on the service being delivered.  Many of the Cloud solutions are based on user profiles.  The Town lacks a central Authentication and Authorization (A&A) framework to allow many of the cloud solution to be correctly integrated into the current environment.  Tackling the A&A will help to open up opportunities to leverage cloud technologies to be effective in the Town's service delivery.","Interesting survey.  thanks for letting me complete it.  good luck pulling together the themes, I'm sure it will reveal some interesting findings."
"2019/06/25 3:55:45 PM MDT","Provincial","contractor business analyst","A decision has been made to move to cloud infrastructure but implementation is pending or at a preliminary stage","provisioning a replica of a production environment would help with testing (the more consistent the test environment is with production the more we can be confident that successful tests in the test environment will produce the same results in production)","same as above; faster provisioning of space would be helpful; SAAS utility is hampered by data residency restrictions","embraces the leading edge","seeks innovation","not sure","not much","hard to say... I'd say it's a smaller IT department","high - at least for the development team","not sure","it can work just fine -when you're looking at available solutions to a problem, cloud hosted solutions are just another option",""
"2019/06/26 12:42:57 AM MDT","Provincial","Management / Jr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","Potentially better uptime for infrastructure and applications than government infrastructure. ","I'm not sure that it would. ","Initiators of change. ","Conservative within established infrastructure but open to innovation for new business practices. ","Varied. Primary concern is privacy in relation to hosting. ","Not a factor. ","Small to medium sized program area. ","Adequate ","A bit nebulous based on current infrastructure. Would require significant enhancements to numerous existing systems. ","Compatible. ","What does the ROI look like for migration to cloud computing? "
"2019/06/26 9:44:03 AM MDT","Municipal","Technical / NCM","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","greatly","quicker pipeline, less complications, more empowerment, scale efficiency, better security and dependability","skeptical, cautious and reticent","aware, cautious and reticent","need more data","providing better service is important","small to medium","technically capable","cost efficiency and better integration","technical debt is a challenge, lack of knowledge in areas of management also a challenge","Incumbent relationships with vendors and platforms provide a barrier to new ideas"
"2019/06/27 2:18:45 PM MDT","Municipal","Management / Jr Officer","A decision has been made to move to cloud infrastructure but implementation is pending or at a preliminary stage","ability to provide expanded capabilities/features to the business","Time for deployment/implementation would be faster","high","neutral","not sure","low","small","low","innovative and provide agility","highly compatible - they wouldn't know the difference.","biggest barrier is decision makers in understanding the pros and cons to cloud adoption and what that means.  eg moving to the cloud would mean a shift from billing on capital to operating and it's inclusion in the operating.."
"2019/06/28 12:02:36 PM MDT","Municipal","Business Analysis","A decision has been made to move to cloud infrastructure but implementation is pending or at a preliminary stage","Takes the burden after from the municipality and puts more responsibility on the cloud provider to stay current with hardware and software industry upgrades, security, backup and recovery processes.","As a BA more focus can be given to the Business Solution application requirements rather than on infrastructure components.  Would still need to be aware of cloud infrastructure performance and recovery activities, but less on selecting the correct infrastructure platform.","The general attitude is the cloud infrastructure is the preferred model to move towards, especially for organizations that are small in nature and does not have a large infrastructure team to implement, support and maintain future upgrades.","I would describe the characteristics of the TIS organization to demonstrate transformational leadership. idealized influence, intellectual stimulation and visionary.","To my understanding the Government of Canada has already supported cloud infrastructure and thereby other lower levels of government can leverage existing standards established (e.g. Security)","I believe municipal governments are not pressured but rather leverage similar cloud infrastructures from higher government organizations."," Currently 4 individuals support Infrastructure activities.","My understanding they understand the cloud technology from a high level perceptive but until used or many different business functions, IT would have a better awareness of the required interworking for Internal and External activities.","Removes having responsibility to spec and maintain hardware technology to stay current.  More focus on the Business Application rather than the platform it runs on.","I believe it would align very well, since over time the strategic plan is to move away from premise technology to cloud technology and focus on Application Business Support to all business groups with the municipality.","One constraining barrier could to the cost to move to a full cloud infrastructure, but if the benefits and long term saving can be communicated to leadership then the journey could be adopted sooner."
"2019/07/03 1:34:12 PM MDT","Provincial","Operational facilitation and leadership","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","May create additional efficiencies for workflow and prompt retirement of aging technologies.","Will have little direct impact, but will promote further organizational changes.","The attitude of leadership is to promote change if it increases sustainable workload and is of value to clients directly or indirectly.","Cautiously optimistic","Ongoing planning and probable future funding.","Public perception greatly influences the decision to adopt cloud, perhaps even more than technical reasons. ","Relatively small","Unsure, but there seems to be some expertise, and strong opinions as to it's possible benefits or risks.","It would promote a perception of modernness and willingness to adapt to the changing technological landscape and ease of use. ","Cloud implementation would work well for our public facing services.","The tension between previous high value on stability and security and the newer more 'modern' ways of doing things expresses itself to varying degrees depending on individuals and length of service."
"2019/07/03 4:05:16 PM MDT","Provincial","Technical / NCM","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","Provide scalable and flexible environments for a diverse suite of computing needs","Provide more modern environments","Progressive and forward thinking","Open","This is a challenging question to answer. I don't think you can paint with too broad strokes. In some places there is support, in others there isn't.","Uncertain","Huge","Unknown","Previously answered","Seamless",""
"2019/07/08 7:45:38 AM MDT","Federal","Management / Jr Officer","No discussion has occurred","Cloud computing could enhance my job by allowing me access to my data regardless of location.","In theory it should require less infrastructure (or take up less space i.e. thin client) than infrastructure currently in use.","I believe that the attitude is generally a positive one.","Once again positive, but with thorough examination of the consequences of change.","I am not aware.","I don't believe external pressure has any significant impact on adoption of cloud computing.","Massive, there are several departments that are dedicated to various forms of IT support.","Unknown, I have not been privy to any discussions on cloud computing.","It would provide us the flexibility to develop or refine documents from a variety of locations and streamline efforts to meet deadlines.","As long as the proper security protocols are in place, it could be very compatible."," "
